,name,overview,anilist_genres,origin_country,original_language,original_name,first_air_date,year,total_fans,combined_average_score,tmdb_popularity,tmdb_users,vote_average,anilist_users,anilist_average_score,source_material,is_adult,tmdb_id,anilist_id
0,The Ancient Magus' Bride: The Boy From the West and the Knight of the Mountain Haze,"Gabriel, an ordinary boy who just moved from London, was bored with his surrounding, until one day, he saw a wisp of purple smoke from the window of his house. At that time, he hurriedly chased the smoke, looking for any kind of freedom and fun. Though they should not, the world of boys and wizards soon intersect…",['Fantasy'],['JP'],ja,魔法使いの嫁  西の少年と青嵐の騎士,2021-09-10,2021,4249.0,0.0,1.276,0,0.0,4249.0,,MANGA,False,120471,130713.0
1,Eden,"Thousands of years in the future, a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe -- that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden.",['Music'],['JP'],ja,エデン,2021-05-01,2021,628.0,53.0,1.96,0,0.0,628.0,53.0,ORIGINAL,False,92584,19137.0
2,Cestvs: The Roman Fighter,,"['Action', 'Drama', 'Sports']",['JP'],ja,セスタス -The Roman Fighter-,2021-04-15,2021,880.0,0.0,8.375,0,0.0,880.0,,MANGA,False,112615,125867.0
3,The Romcom Where the Childhood Friend Won't Lose!,"My childhood friend Shida Kuroha seems to have feelings for me. She lives next door, and is small and cute. With an outgoing character, she's the caring Onee-san type, this being one of her greatest strengths.

...But, I already have my first love, the beautiful idol of our school, and the award-winning author, Kachi Shirokusa! Thinking about it rationally, I should have no chances with her, but, while walking home from school, she only talks to me, with a smile even! I might actually have a chance, don't you think?!

Or so I thought, but then I heard that Shirokusa already has a boyfriend, and my life took a turn for the worse. I want to die. Why is it not me?! Even though she was my first love... As I was drowning in despair and depression, Kuroha whispered.

—If it's that tough for you, then how about we get revenge? The best revenge ever, that is~","['Comedy', 'Drama', 'Romance']",['JP'],ja,幼なじみが絶対に負けないラブコメ,2021-04-14,2021,414.0,70.0,16.435,0,0.0,414.0,70.0,ORIGINAL,False,110975,110461.0
4,To Your Eternity,"An immortal being was sent to the surface of the earth and met a boy living alone in the middle of tundra. The being can take the shape of dying things, but only if the ""impetus"" is stronger than the previous one. What sort of experiences and meetings will the being encounter while living forever?","['Adventure', 'Drama', 'Fantasy', 'Psychological', 'Supernatural']",['JP'],ja,不滅のあなたへ,2021-04-12,2021,13810.0,81.0,12.725,0,0.0,13810.0,81.0,ORIGINAL,False,97525,97830.0
5,Pretty Boy Detective Club,,"['Comedy', 'Mystery', 'Sci-Fi']",['JP'],ja,美少年探偵団,2021-04-11,2021,341.0,67.0,2.06,0,0.0,341.0,67.0,OTHER,False,113042,103100.0
6,Shadows House,,"['Fantasy', 'Horror', 'Mystery', 'Slice of Life', 'Supernatural']",['JP'],ja,シャドーハウス,2021-04-11,2021,2135.0,79.0,19.494,0,0.0,2135.0,79.0,ORIGINAL,False,111576,104063.0
7,"Don't Toy With Me, Miss Nagatoro","Mischievous Nagatoro-san always bugs Senpai to get a reaction out of him.

What is her motivation? Does she just want to create misery for Senpai?

Or maybe she secretly likes him?","['Comedy', 'Romance', 'Slice of Life']",['JP'],ja,イジらないで、長瀞さん,2021-04-11,2021,30177.0,75.0,12.401,0,0.0,30177.0,75.0,ORIGINAL,False,105556,100664.0
8,Tokyo Revengers,"Watching the news, Hanagaki Takemichi learns that his girlfriend from way back in middle school, Tachibana Hinata, has died. The only girlfriend he ever had was just killed by a villainous group known as the Tokyo Manji Gang. He lives in a crappy apartment with thin walls, and his six-years-younger boss treats him like an idiot. Plus, he's a complete and total virgin... At the height of his rock-bottom life, he suddenly time-leaps twelve years back to his middle school days!! To save Hinata, and change the life he spent running away, hopeless part-timer Takemichi must aim for the top of Kanto's most sinister delinquent gang!!","['Action', 'Drama', 'Romance', 'Supernatural']",['JP'],ja,東京リベンジャーズ,2021-04-11,2021,13635.0,0.0,22.534,0,0.0,13635.0,,MANGA,False,105009,120120.0
9,Edens Zero,,,['JP'],ja,エデンズ ゼロ,2021-04-11,2021,0.0,0.0,31.853,0,0.0,,,,,104711,
