first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count
2021-09-10,"[16, 18, 10765]",120471,The Ancient Magus' Bride: The Boy From the West and the Knight of the Mountain Haze,['JP'],ja,魔法使いの嫁  西の少年と青嵐の騎士,"Gabriel, an ordinary boy who just moved from London, was bored with his surrounding, until one day, he saw a wisp of purple smoke from the window of his house. At that time, he hurriedly chased the smoke, looking for any kind of freedom and fun. Though they should not, the world of boys and wizards soon intersect…",1.276,0.0,0
2021-07-23,"[16, 10762]",96715,Chip ‘N’ Dale: Park Life,[],en,Chip ‘N’ Dale: Park Life,"A non-verbal, classic style comedy, following the ups and downs of the much-loved chipmunk troublemakers living life in the big city.",0.804,0.0,0
2021-07-02,"[16, 35, 10751]",90461,Monsters at Work,['US'],en,Monsters at Work,"Six months after the events of Monsters, Inc., the city of Monstropolis is now fueled with the sound of laughter. Tylor Tuskmon, a mechanic on the Facilities Team, dreams of working alongside his idols Mike Wazowski and James P. ""Sulley"" Sullivan.",4.199,0.0,0
2021-05-21,"[16, 35]",111312,Marvel's M.O.D.O.K.,['US'],en,Marvel's M.O.D.O.K.,"The megalomaniacal supervillain M.O.D.O.K. has long pursued his dream of one day conquering the world. But after years of setbacks and failures fighting the Earth’s mightiest heroes, M.O.D.O.K. has run his evil organization A.I.M. into the ground. Ousted as A.I.M.’s leader, while also dealing with his crumbling marriage and family life, the Mental Organism Designed Only for Killing is set to confront his greatest challenge yet: a midlife crisis!",1.099,0.0,0
2021-05-04,"[10765, 10759, 16]",105971,Star Wars: The Bad Batch,['US'],en,Star Wars: The Bad Batch,Follow the elite and experimental Clones of the Bad Batch as they find their way in a rapidly changing galaxy in the aftermath of the Clone Wars.,3.081,0.0,0
2021-05-01,"[10765, 16, 18]",92584,Eden,['JP'],ja,エデン,"Thousands of years in the future, a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe -- that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden.",1.96,0.0,0
2021-04-29,"[16, 18, 10759, 10765]",112166,Yasuke,['US'],ja,YASUKE －ヤスケ－,"In a war-torn feudal Japan filled with mechs and magic, the greatest ronin never known, Yasuke, struggles to maintain a peaceful existence after a past life of violence. But when a local village becomes the center of social upheaval between warring daimyo, Yasuke must take up his sword and transport a mysterious child who is the target of dark forces and bloodthirsty warlords.",0.931,0.0,0
2021-04-15,"[16, 18, 10759]",112615,Cestvs: The Roman Fighter,['JP'],ja,セスタス -The Roman Fighter-,,8.375,0.0,0
2021-04-14,"[16, 35]",110975,The Romcom Where the Childhood Friend Won't Lose!,['JP'],ja,幼なじみが絶対に負けないラブコメ,"My childhood friend Shida Kuroha seems to have feelings for me. She lives next door, and is small and cute. With an outgoing character, she's the caring Onee-san type, this being one of her greatest strengths.

...But, I already have my first love, the beautiful idol of our school, and the award-winning author, Kachi Shirokusa! Thinking about it rationally, I should have no chances with her, but, while walking home from school, she only talks to me, with a smile even! I might actually have a chance, don't you think?!

Or so I thought, but then I heard that Shirokusa already has a boyfriend, and my life took a turn for the worse. I want to die. Why is it not me?! Even though she was my first love... As I was drowning in despair and depression, Kuroha whispered.

—If it's that tough for you, then how about we get revenge? The best revenge ever, that is~",16.435,0.0,0
2021-04-12,"[16, 18, 10759, 10765]",97525,To Your Eternity,['JP'],ja,不滅のあなたへ,"An immortal being was sent to the surface of the earth and met a boy living alone in the middle of tundra. The being can take the shape of dying things, but only if the ""impetus"" is stronger than the previous one. What sort of experiences and meetings will the being encounter while living forever?",12.725,0.0,0
